"","intvMax_hrs","intvMax","n_trips","trip_hrs_med","trip_hrs_max","trips_per_120"
"1",2,120,264952,5.68361111111111,461.635277777778,99.98
"2",3,180,229715,7.71333333333333,503.834166666667,99.98
"3",4,240,210683,9.45111111111111,503.834166666667,99.97
"4",5,300,198310,10.7325,503.834166666667,99.95
"5",6,360,189383,11.5983333333333,545.613888888889,99.94
"6",7,420,182610,12.2027777777778,545.613888888889,99.92
"7",8,480,177258,12.6266666666667,549.279444444444,99.9
"8",12,720,161919,14.3316666666667,549.279444444444,99.84
"9",16,960,151885,17.1836111111111,618.564444444444,99.76
"10",24,1440,141711,21.7280555555556,904.996111111111,99.64
"11",48,2880,134957,22.9691666666667,1817.8825,99.29
"12",72,4320,131392,23.1484722222222,2333.60166666667,97.75
"13",96,5760,123582,23.1863888888889,2356.94055555556,93.39
"14",120,7200,119248,23.2234722222222,3066.16833333333,91.29
"15",486.670277777778,29200.2166666667,112721,23.2408333333333,11032.685,90.31
"16",973.340555555556,58400.4333333333,112215,23.2455555555556,15369.8225,90.32
"17",1946.68111111111,116800.866666667,111868,23.2458333333333,22627.8288888889,90.33
"18",3893.36222222222,233601.733333333,111804,23.2465277777778,22627.8288888889,90.33
"19",7786.72444444444,467203.466666667,111778,23.2461111111111,22627.8288888889,90.33
