"","VE_REF","port_per_trip","fish_hrs_pomo","fish_hrs_total","percent_of_hours"
"1","191417650","PRIMOSTEN",21.3833333333333,56.9333333333333,37.5585480093677
"2","191417650","TRIBUNJ",48.9,153.083333333333,31.943385955362
"3","191417650","ROGOZNICA",265.1,927.883333333333,28.570402169813
"4","199932180","SAN BENEDETTO DEL TRONTO",302.583333333333,463.666666666667,65.2588066139468
"5","199946660","SAN BENEDETTO DEL TRONTO",369.716666666667,600.816666666667,61.5356875364088
"6","199950310","SAN BENEDETTO DEL TRONTO",877,1399.83333333333,62.6503155137516
"7","199950330","SAN BENEDETTO DEL TRONTO",964.916666666667,2510.78333333333,38.4309013787198
"8","199950460","PESCARA",293.466666666667,495.083333333333,59.2762161252314
"9","199953560","SAN BENEDETTO DEL TRONTO",280.733333333333,496.95,56.4912633732435
"10","199970120","GIULIANOVA",492.2,1017.31666666667,48.3821818837137
"11","199970230","PESCARA",450.45,857.666666666667,52.5204041974349
"12","199970290","ORTONA",1316.5,2640.15,49.864591027025
"13","199970300","PESCARA",369.866666666667,684.633333333333,54.0240518038853
"14","199970820","PESCARA",547.716666666667,996.85,54.9447426058752
"15","199970820","TERMOLI",2.46666666666667,6.15,40.1084010840108
"16","199971530","ORTONA",20.15,21.95,91.7995444191344
"17","199971530","PESCARA",1015.86666666667,2080.4,48.8303531372172
"18","199972060","PESCARA",810.3,1670.43333333333,48.5083710813561
"19","199972450","PESCARA",826.05,1283.91666666667,64.3382877912637
"20","199974200","ORTONA",937.333333333333,2263.23333333333,41.4156737411079
"21","199981110","SAN BENEDETTO DEL TRONTO",222.1,438.383333333333,50.6634224232977
"22","199998410","GIULIANOVA",9.8,12.0833333333333,81.1034482758621
"23","199998410","ORTONA",52.0333333333333,86.0666666666667,60.4570100697134
"24","199998410","PESCARA",947.383333333333,1736.25,54.5649148068155
"25","200021190","ORTONA",6.86666666666667,7.85,87.4734607218684
"26","200021190","PESCARA",779.933333333333,1607.78333333333,48.5098531103901
"27","200021350","PESCARA",257.633333333333,482.566666666667,53.3881329004628
"28","200150320","PESCARA",1033.66666666667,1939.68333333333,53.2904855603578
"29","200172710","GIULIANOVA",380.866666666667,891.633333333333,42.7156155370294
