"","VE_REF","ves_nation"
"1","1026611863","HRV"
"2","178334040","HRV"
"3","190870041","HRV"
"4","190870045","HRV"
"5","190881580","HRV"
"6","190883880","HRV"
"7","190884880","HRV"
"8","190887880","HRV"
"9","190889980","HRV"
"10","190894280","HRV"
"11","190974280","HRV"
"12","190987180","HRV"
"13","190987280","HRV"
"14","190993496","HRV"
"15","191002380","HRV"
"16","191026680","HRV"
"17","191030840","HRV"
"18","191030880","HRV"
"19","191032280","HRV"
"20","191054820","HRV"
"21","191067280","HRV"
"22","191128480","HRV"
"23","191130880","HRV"
"24","191147780","HRV"
"25","191169880","HRV"
"26","191178380","HRV"
"27","191186480","HRV"
"28","191197880","HRV"
"29","191201880","HRV"
"30","191207580","HRV"
"31","191211180","HRV"
"32","191231380","HRV"
"33","191251580","HRV"
"34","191270680","HRV"
"35","191272780","HRV"
"36","191274480","HRV"
"37","191277180","HRV"
"38","191277980","HRV"
"39","191279180","HRV"
"40","191283580","HRV"
"41","191299080","HRV"
"42","191313180","HRV"
"43","191315180","HRV"
"44","191321280","HRV"
"45","191376280","HRV"
"46","191406750","HRV"
"47","191417650","HRV"
"48","191426750","HRV"
"49","191427280","HRV"
"50","191451150","HRV"
"51","191453050","HRV"
"52","191454150","HRV"
"53","191462450","HRV"
"54","191468050","HRV"
"55","191493080","HRV"
"56","191495280","HRV"
"57","191519550","HRV"
"58","191521750","HRV"
"59","191524650","HRV"
"60","191525980","HRV"
"61","191545880","HRV"
"62","191627780","HRV"
"63","191633180","HRV"
"64","191660880","HRV"
"65","191661580","HRV"
"66","191665080","HRV"
"67","191665980","HRV"
"68","191668380","HRV"
"69","191768980","HRV"
"70","191791980","HRV"
"71","191804280","HRV"
"72","191817780","HRV"
"73","191825280","HRV"
"74","191831650","HRV"
"75","191842180","HRV"
"76","191842280","HRV"
"77","191853650","HRV"
"78","191854650","HRV"
"79","191857980","HRV"
"80","191860450","HRV"
"81","191866480","HRV"
"82","191868250","HRV"
"83","199900200","ITA"
"84","199900220","ITA"
"85","199900370","ITA"
"86","199900510","ITA"
"87","199900770","ITA"
"88","199900810","ITA"
"89","199900880","ITA"
"90","199900930","ITA"
"91","199901660","ITA"
"92","199915190","ITA"
"93","199920150","ITA"
"94","199920210","ITA"
"95","199920220","ITA"
"96","199920260","ITA"
"97","199920270","ITA"
"98","199920480","ITA"
"99","199920490","ITA"
"100","199920520","ITA"
"101","199920560","ITA"
"102","199920600","ITA"
"103","199920670","ITA"
"104","199920800","ITA"
"105","199920870","ITA"
"106","199920930","ITA"
"107","199920980","ITA"
"108","199921020","ITA"
"109","199921030","ITA"
"110","199921060","ITA"
"111","199921070","ITA"
"112","199921080","ITA"
"113","199921120","ITA"
"114","199921190","ITA"
"115","199921230","ITA"
"116","199921250","ITA"
"117","199921260","ITA"
"118","199921270","ITA"
"119","199921280","ITA"
"120","199921450","ITA"
"121","199921490","ITA"
"122","199921510","ITA"
"123","199921590","ITA"
"124","199921600","ITA"
"125","199921770","ITA"
"126","199921780","ITA"
"127","199921830","ITA"
"128","199921870","ITA"
"129","199921880","ITA"
"130","199921900","ITA"
"131","199921960","ITA"
"132","199921970","ITA"
"133","199921990","ITA"
"134","199922020","ITA"
"135","199922370","ITA"
"136","199922480","ITA"
"137","199922570","ITA"
"138","199922590","ITA"
"139","199922610","ITA"
"140","199922630","ITA"
"141","199922970","ITA"
"142","199923080","ITA"
"143","199923100","ITA"
"144","199923160","ITA"
"145","199923200","ITA"
"146","199923410","ITA"
"147","199923460","ITA"
"148","199923570","ITA"
"149","199923580","ITA"
"150","199923590","ITA"
"151","199923620","ITA"
"152","199923660","ITA"
"153","199923720","ITA"
"154","199923750","ITA"
"155","199923760","ITA"
"156","199923820","ITA"
"157","199923860","ITA"
"158","199923950","ITA"
"159","199923990","ITA"
"160","199924050","ITA"
"161","199924070","ITA"
"162","199924080","ITA"
"163","199924110","ITA"
"164","199924120","ITA"
"165","199924130","ITA"
"166","199924160","ITA"
"167","199924170","ITA"
"168","199924210","ITA"
"169","199924480","ITA"
"170","199924490","ITA"
"171","199924690","ITA"
"172","199924780","ITA"
"173","199924790","ITA"
"174","199925060","ITA"
"175","199925070","ITA"
"176","199925580","ITA"
"177","199925610","ITA"
"178","199926650","ITA"
"179","199926660","ITA"
"180","199932180","ITA"
"181","199935680","ITA"
"182","199935750","ITA"
"183","199938120","ITA"
"184","199940270","ITA"
"185","199940570","ITA"
"186","199940580","ITA"
"187","199940630","ITA"
"188","199940650","ITA"
"189","199940680","ITA"
"190","199940690","ITA"
"191","199940700","ITA"
"192","199940710","ITA"
"193","199940750","ITA"
"194","199940780","ITA"
"195","199940820","ITA"
"196","199940880","ITA"
"197","199940890","ITA"
"198","199940920","ITA"
"199","199940930","ITA"
"200","199941000","ITA"
"201","199941010","ITA"
"202","199941050","ITA"
"203","199941060","ITA"
"204","199941090","ITA"
"205","199941100","ITA"
"206","199941160","ITA"
"207","199941210","ITA"
"208","199941420","ITA"
"209","199941460","ITA"
"210","199941930","ITA"
