"","YEAR","port_per_trip","region","nation","reserve","fished","total_effort","displacement","dataset"
"1",2014,"ANCONA","marche","ITA",0.733333333333333,28845.9666666667,28846.7,0.003,"AIS_2014"
"2",2014,"ANCONA",NA,NA,0,244.183333333333,244.183333333333,0,"AIS_2014"
"3",2014,"BARI","puglia","ITA",0,244.666666666667,244.666666666667,0,"AIS_2014"
"4",2014,"BARI",NA,NA,4.01666666666667,21.8833333333333,25.9,15.508,"AIS_2014"
"5",2014,"BARLETTA","puglia","ITA",0,558.95,558.95,0,"AIS_2014"
"6",2014,"BARLETTA",NA,NA,0,842.15,842.15,0,"AIS_2014"
"7",2014,"BETINA",NA,"HRV",5.3,15.0166666666667,20.3166666666667,26.087,"AIS_2014"
"8",2014,"BETINA",NA,NA,0.483333333333333,20.4333333333333,20.9166666666667,2.311,"AIS_2014"
"9",2014,"BIOGRAD NA MORU",NA,"HRV",7.26666666666667,69.85,77.1166666666667,9.423,"AIS_2014"
"10",2014,"BIOGRAD NA MORU",NA,NA,0,40.0166666666667,40.0166666666667,0,"AIS_2014"
"11",2014,"BISCEGLIE","puglia","ITA",0,348.05,348.05,0,"AIS_2014"
"12",2014,"BISCEGLIE",NA,NA,0,164.383333333333,164.383333333333,0,"AIS_2014"
"13",2014,"BRINDISI","puglia","ITA",0,3332.33333333333,3332.33333333333,0,"AIS_2014"
"14",2014,"BRINDISI",NA,NA,0.383333333333333,997.55,997.933333333333,0.038,"AIS_2014"
"15",2014,"CAORLE","veneto","ITA",0,3157.06666666667,3157.06666666667,0,"AIS_2014"
"16",2014,"CAORLE",NA,NA,0,878.95,878.95,0,"AIS_2014"
"17",2014,"CAPOIALE","puglia","ITA",0,867.9,867.9,0,"AIS_2014"
"18",2014,"CAPOIALE",NA,NA,0,98.8833333333333,98.8833333333333,0,"AIS_2014"
"19",2014,"CATTOLICA","emilia","ITA",0,923.566666666667,923.566666666667,0,"AIS_2014"
"20",2014,"CATTOLICA",NA,NA,0,238.616666666667,238.616666666667,0,"AIS_2014"
"21",2014,"CESENATICO","emilia","ITA",0,2440.9,2440.9,0,"AIS_2014"
"22",2014,"CESENATICO",NA,NA,0,179.033333333333,179.033333333333,0,"AIS_2014"
"23",2014,"CHIOGGIA","veneto","ITA",0,31329.6333333333,31329.6333333333,0,"AIS_2014"
"24",2014,"CHIOGGIA",NA,NA,0,189.233333333333,189.233333333333,0,"AIS_2014"
"25",2014,"CIVITANOVA MARCHE","marche","ITA",18.8166666666667,28284.9166666667,28303.7333333333,0.066,"AIS_2014"
"26",2014,"CIVITANOVA MARCHE",NA,NA,0,214.316666666667,214.316666666667,0,"AIS_2014"
"27",2014,"DUBROVNIK",NA,"HRV",0,4902.51666666667,4902.51666666667,0,"AIS_2014"
"28",2014,"DUBROVNIK",NA,NA,0,559.583333333333,559.583333333333,0,"AIS_2014"
"29",2014,"DURRES",NA,"ALB",0,0.333333333333333,0.333333333333333,0,"AIS_2014"
"30",2014,"DURRES",NA,NA,0,1.18333333333333,1.18333333333333,0,"AIS_2014"
"31",2014,"FANO","marche","ITA",0,6575.38333333333,6575.38333333333,0,"AIS_2014"
"32",2014,"FANO",NA,NA,0,25.5333333333333,25.5333333333333,0,"AIS_2014"
"33",2014,"GIULIANOVA","abruzzo","ITA",267.1,2944.11666666667,3211.21666666667,8.318,"AIS_2014"
"34",2014,"GIULIANOVA",NA,NA,13.9166666666667,162.833333333333,176.75,7.874,"AIS_2014"
"35",2014,"GORO","veneto","ITA",0,454.35,454.35,0,"AIS_2014"
"36",2014,"GORO",NA,NA,0,21.1166666666667,21.1166666666667,0,"AIS_2014"
"37",2014,"GRADO","friuli","ITA",0,1275.31666666667,1275.31666666667,0,"AIS_2014"
"38",2014,"GRADO",NA,NA,0,0.5,0.5,0,"AIS_2014"
"39",2014,"HVAR",NA,"HRV",0,354.266666666667,354.266666666667,0,"AIS_2014"
"40",2014,"HVAR",NA,NA,0,159.216666666667,159.216666666667,0,"AIS_2014"
"41",2014,"IST",NA,"HRV",0,179.05,179.05,0,"AIS_2014"
"42",2014,"IST",NA,NA,0,40.6833333333333,40.6833333333333,0,"AIS_2014"
"43",2014,"IZOLA",NA,"SVN",0,46.5333333333333,46.5333333333333,0,"AIS_2014"
"44",2014,"KARIGADOR",NA,"HRV",0,861.116666666667,861.116666666667,0,"AIS_2014"
"45",2014,"KOMIZA",NA,"HRV",29.3166666666667,3506.2,3535.51666666667,0.829,"AIS_2014"
"46",2014,"KOMIZA",NA,NA,18.9833333333333,756.9,775.883333333333,2.447,"AIS_2014"
"47",2014,"KOPER",NA,"SVN",0,6.33333333333333,6.33333333333333,0,"AIS_2014"
"48",2014,"LASTOVSKO OTOCJE",NA,"HRV",0,70.8333333333333,70.8333333333333,0,"AIS_2014"
"49",2014,"LOVISTE",NA,"HRV",0,76.1,76.1,0,"AIS_2014"
"50",2014,"MAKARSKA",NA,"HRV",0,57.3,57.3,0,"AIS_2014"
"51",2014,"MAKARSKA",NA,NA,0,5.38333333333333,5.38333333333333,0,"AIS_2014"
"52",2014,"MALI LOSINJ",NA,"HRV",0,952.616666666667,952.616666666667,0,"AIS_2014"
"53",2014,"MALI LOSINJ",NA,NA,0,61.6666666666667,61.6666666666667,0,"AIS_2014"
"54",2014,"MANFREDONIA","puglia","ITA",0,388.7,388.7,0,"AIS_2014"
"55",2014,"MANFREDONIA",NA,NA,0,623.65,623.65,0,"AIS_2014"
"56",2014,"MARANO LAGUNARE","friuli","ITA",0,2144.1,2144.1,0,"AIS_2014"
"57",2014,"MARANO LAGUNARE",NA,NA,0,15.45,15.45,0,"AIS_2014"
"58",2014,"MEDULIN",NA,"HRV",0,118.8,118.8,0,"AIS_2014"
"59",2014,"MOLA DI BARI","puglia","ITA",0,1754.13333333333,1754.13333333333,0,"AIS_2014"
"60",2014,"MOLA DI BARI",NA,NA,0,207.783333333333,207.783333333333,0,"AIS_2014"
"61",2014,"MOLFETTA","puglia","ITA",1.23333333333333,3248.95,3250.18333333333,0.038,"AIS_2014"
"62",2014,"MOLFETTA",NA,NA,0,3504.65,3504.65,0,"AIS_2014"
