"","ves_ci","VE_REF"
"1","Control","190889980"
"2","Control","190974280"
"3","Control","190987180"
"4","Control","190987280"
"5","Control","191002380"
"6","Control","191026680"
"7","Control","191032280"
"8","Control","191169880"
"9","Control","191197880"
"10","Control","191207580"
"11","Control","191270680"
"12","Control","191274480"
"13","Control","191277980"
"14","Control","191279180"
"15","Control","191299080"
"16","Control","191313180"
"17","Control","191315180"
"18","Control","191321280"
"19","Control","191376280"
"20","Control","191406750"
"21","Control","191426750"
"22","Control","191493080"
"23","Control","191495280"
"24","Control","191519550"
"25","Control","191521750"
"26","Control","191627780"
"27","Control","191660880"
"28","Control","191661680"
"29","Control","191665080"
"30","Control","191768980"
"31","Control","191791980"
"32","Control","191804280"
"33","Control","191825280"
"34","Control","191842280"
"35","Control","191854650"
"36","Control","191857980"
"37","Control","191860450"
"38","Control","191866480"
"39","Control","191868250"
"40","Control","199915190"
"41","Control","199921020"
"42","Control","199921880"
"43","Control","199921970"
"44","Control","199935680"
"45","Control","199935750"
"46","Control","199941420"
"47","Control","199942860"
"48","Control","199946050"
"49","Control","199946360"
"50","Control","199950370"
"51","Control","199950450"
"52","Control","199950570"
"53","Control","199950690"
"54","Control","199950790"
"55","Control","199950850"
"56","Control","199950930"
"57","Control","199951060"
"58","Control","199951480"
"59","Control","199952330"
"60","Control","199953230"
"61","Control","199953530"
"62","Control","199953930"
"63","Control","199954000"
"64","Control","199954080"
"65","Control","199954110"
"66","Control","199954770"
"67","Control","199955380"
"68","Control","199956030"
"69","Control","199956320"
"70","Control","199956630"
"71","Control","199957300"
"72","Control","199957580"
"73","Control","199957690"
"74","Control","199961170"
"75","Control","199970060"
"76","Control","199970080"
"77","Control","199970110"
"78","Control","199970310"
"79","Control","199970330"
"80","Control","199970370"
"81","Control","199970390"
"82","Control","199970400"
"83","Control","199970470"
"84","Control","199970500"
"85","Control","199970530"
"86","Control","199970570"
"87","Control","199970580"
"88","Control","199970610"
"89","Control","199970620"
"90","Control","199970630"
"91","Control","199970720"
"92","Control","199970780"
"93","Control","199970830"
"94","Control","199970950"
"95","Control","199971180"
"96","Control","199971210"
"97","Control","199971290"
"98","Control","199971310"
"99","Control","199971350"
"100","Control","199971360"
"101","Control","199971380"
"102","Control","199971410"
"103","Control","199971480"
"104","Control","199971550"
"105","Control","199971560"
"106","Control","199971580"
"107","Control","199971630"
"108","Control","199971650"
"109","Control","199971670"
"110","Control","199972110"
"111","Control","199972220"
"112","Control","199972230"
"113","Control","199972250"
"114","Control","199972280"
"115","Control","199972420"
"116","Control","199972530"
"117","Control","199972600"
"118","Control","199972760"
"119","Control","199972770"
"120","Control","199972790"
"121","Control","199972890"
"122","Control","199973060"
"123","Control","199973080"
"124","Control","199973100"
"125","Control","199973170"
"126","Control","199973260"
"127","Control","199973470"
"128","Control","199973550"
"129","Control","199973790"
"130","Control","199974100"
"131","Control","199974300"
"132","Control","199981520"
"133","Control","199990280"
"134","Control","199990430"
"135","Control","199990480"
"136","Control","199990510"
"137","Control","199990520"
"138","Control","199990530"
"139","Control","199990600"
"140","Control","199990610"
"141","Control","199990642"
"142","Control","199990680"
"143","Control","199990710"
"144","Control","199990800"
"145","Control","199991000"
"146","Control","199991010"
"147","Control","199991020"
"148","Control","199991120"
"149","Control","199991130"
"150","Control","199991160"
"151","Control","199991200"
"152","Control","199991210"
"153","Control","199991220"
"154","Control","199991230"
"155","Control","199991250"
"156","Control","199991260"
"157","Control","199991280"
"158","Control","199991300"
"159","Control","199991320"
"160","Control","199991330"
"161","Control","199991460"
"162","Control","199991480"
"163","Control","199991630"
"164","Control","199991760"
"165","Control","199991770"
"166","Control","199991960"
"167","Control","199992070"
"168","Control","199992080"
"169","Control","199992120"
"170","Control","199992170"
"171","Control","199992190"
"172","Control","199992250"
"173","Control","199992350"
"174","Control","199992360"
"175","Control","199992370"
"176","Control","199992390"
"177","Control","199992470"
"178","Control","199992620"
"179","Control","199992890"
"180","Control","199993190"
"181","Control","199993570"
"182","Control","199993750"
"183","Control","199993920"
"184","Control","199994260"
"185","Control","199994650"
"186","Control","199995090"
"187","Control","199995420"
"188","Control","199995660"
"189","Control","199995720"
"190","Control","199995860"
"191","Control","199997160"
"192","Control","199997170"
"193","Control","200002020"
"194","Control","200016960"
"195","Control","200018920"
"196","Control","200020080"
"197","Control","200021200"
"198","Control","200021850"
"199","Control","200150630"
"200","Control","200150800"
"201","Control","200150830"
"202","Control","200151460"
"203","Control","200151580"
"204","Control","200368040"
"205","Impacted","191417650"
"206","Impacted","199932180"
"207","Impacted","199946660"
"208","Impacted","199950310"
"209","Impacted","199950330"
"210","Impacted","199950460"
"211","Impacted","199953560"
"212","Impacted","199970120"
"213","Impacted","199970230"
"214","Impacted","199970290"
"215","Impacted","199970300"
"216","Impacted","199970820"
"217","Impacted","199971530"
"218","Impacted","199972060"
"219","Impacted","199972450"
"220","Impacted","199974200"
"221","Impacted","199981110"
"222","Impacted","199998410"
"223","Impacted","200021190"
"224","Impacted","200021350"
"225","Impacted","200150320"
"226","Impacted","200172710"
